Name,Score,Address,City,Zip
Fairleys Pharmacy,100,7206 NE Sandy Blvd,Portland,97213
Twenty First Ave Kitchen & Bar,96.75,721 NW 21st Ave,Portland,97209
Kiosko La Perlita,97.42857143,721 NW 9th Ave,Portland,97209
Hot Lips Pizza,98.75,721 NW 9th Ave Ste 150,Portland,97209
Samos Bistro & Market,95.66666667,7215 NE Prescott St,Portland,97218
Bossanova Ballroom,100,722 E Burnside St,Portland,97214
Devils Food Catering Upstairs,94,722 N Page St,Portland,97227
Sardine Head,100,722 N Summer Street,Portland,97217
Nalu Kava Bar,100,722 N Sumner St,Portland,97217
Picnic House and Barlow,84.5,723 SW Salmon St,Portland,97205
"Pizza Nostra, #A",92,7237 N Philadelphia Ave,Portland,97203
Lunch Detention,95.5,7238  SE Foster,Portland,97206
Portland Mercado,100,7238 SE Foster Rd,Portland,97206
XOCOTL,98,7238 SE Foster Rd # 2,Portland,97206
Sandino Coffee Roasters,96,7238 SE Foster Rd # 4,Portland,97206
Barrio Bar,100,7238 SE Foster Rd Ste 9,Portland,97206
El Inka,99.4,7238 SE Foster Road,Portland,97206
Wurst,100,724 E Burnside St,Portland,97214
Oregon Jewish Museum and Center for Holocaust Education,99,724 NW Davis St,Portland,97209
Fresh Pot,97.75,724 SW Washington St,Portland,97205
"Taco Bell 32937,",98.5,725 NE Weidler Street,Portland,97232
MoMo Lounge,97.5,725 SW 10th Ave,Portland,97205
LuLu,97,726 SE Grand Ave,Portland,97214
Bit House Saloon,93,727 SE Grand Ave,Portland,97214
Taqueria Nueve,100,727 SE Washington St,Portland,97214
Cafe Ponte,95.66666667,727 SW Naito Pkwy,Portland,97204
Grendels Coffee House,99,729 E Burnside St # 107,Portland,97214
Gracies,77.5,729 SW 15th Ave,Portland,97205
Meeka Japanese Restaurant,84,730 NE 181st Ave,Portland,97230
Beau Thai Restaurant,98,730 NW 21st Ave,Portland,97209
Korner Pocket,98.33333333,7300 NE Sandy Blvd,Portland,97213
Putters Bar and Grill,96.25,7305 SE Woodstock Blvd,Portland,97206
Bluefin Bar and Grill,99,7311 NE Sandy Blvd,Portland,97213
Colwood Grill,92.66666667,7313 NE Columbia Blvd,Portland,97218
Pieology Fox Tower,88.66666667,732 SW Yamhill St,Portland,97205
Rose City Coffee Co.,96.5,7325 SE Milwaukie Ave,Portland,97202
Jimmy Johns Gourmet Sandwiches,89,733 SW 10th Ave,Portland,97205
Pho Gabo,88,7330 NE Fremont St,Portland,97213
Teriyaki Heaven,95,7332 NE Martin Luther King Jr Blvd,Portland,97211
Candlelight Restaurant and Lounge,96.33333333,7334 NE Glisan St,Portland,97213
Lombard House,95.33333333,7337 N Lombard St,Portland,97203
K Pub Grill,97,7339 NE Martin Luther King Jr Blvd,Portland,97211
Canard,100,734 E Burnside St,Portland,97214
Voicebox SouthEast,100,734 SE 6th Ave,Portland,97214
Local Grind (The),83.75,734 SE Powell Blvd,Portland,97202
Dragonwell Bistro,81,735 SW 1st Ave,Portland,97204
Piedmont Place,98.5,736 N Lombard St,Portland,97217
Dig A Pony,100,736 SE Grand Ave,Portland,97214
Chef Du Jour Catering,91.33333333,736 SE Powell Blvd,Portland,97202
Bamboo Grove Hawaiian Grille Catering,92,736 SE Powell Boulevard,Portland,97202
Great North (The),92,7373 N Burlington Ave,Portland,97203
Le Pigeon,98.5,738 E Burnside St,Portland,97214
Coffeehouse Five,95.5,740 NW Killingsworth St,Portland,97217
Meals on Wheels People Cherry Blossom,95.66666667,740 SE 106th Ave,Portland,97216
Hour Glass Pub and Eatery,97,7401 NE Glisan St,Portland,97213
"Pizza Hut, #2871",100,7405 SW Barbur Blvd,Portland,97219
"Subway, #35203",94.66666667,7409 N Interstate Ave,Portland,97217
Poke Box Sushi,92,7414 SE Milwaukie Ave,Portland,97202
"Taco Bell, #3286",100,7415 NE Martin Luther King Jr Blvd,Portland,97211
Pirates Cove,100,7417 NE Sandy Blvd,Portland,97213
"Starbucks Coffee, #3713",93.66666667,7421 SW Barbur Blvd,Portland,97219
Baja Fresh Mexican Grill,97,7421 SW Barbur Blvd 190,Portland,97219
Paiku,99.25,7425 N Leavitt Ave,Portland,97203
Red Gate (The),98.33333333,7434 NE Fremont Street,Portland,97213
Sidekicks,100,746 NE 181st Ave,Portland,97230
"McDonalds, #23538",96.25,7487 N Ida Ave,Portland,97203
Spin Laundry Lounge,92,750 N Fremont St,Portland,97227
"Round Table Pizza, #169",94.66666667,750 NE 181st Ave,Portland,97230
Rosa Rosa,80.33333333,750 SW Alder St,Portland,97205
Perch Tavern,97.5,7505 N Lombard St,Portland,97203
White Pepper,97.5,7505 NE Glisan Street,Portland,97213
Vi Thai Restaurant,95,751 NE 242nd Dr,Troutdale,97060
No Wave Coffee,99.25,7510 N Portsmouth Ave,Portland,97203
