Name,Score,Address,City,Zip
Ikea Restaurant,99.0,10280 NE Cascades Pkwy,Portland,97220.0
Boiling Bowl The,86.33333333,103 NW 21st Ave,Portland,97209.0
Vibra Specialty Hospital of Portland,100.0,10300 NE Hancock St,Portland,97220.0
Old Chicago Pizza and Pasta,96.25,10300 SE Washington St,Portland,97216.0
Fujiyama Sushi Bar,95.66666667,10308 SE Washington St,Portland,97216.0
"Subway, #18554",97.5,1031 SW 6th Ave,Portland,97204.0
Time Out Deli and Pub,92.33333333,10318 SE Holgate Blvd,Portland,97266.0
Meals on Wheels People Elm Court,91.5,1032 SW Main St,Portland,97205.0
Takahashi,91.33333333,10324 SE Holgate Blvd,Portland,97266.0
Meals on Wheels People Lents,93.66666667,10325 SE Holgate Blvd,Portland,97266.0
Elevator Cafe,99.0,1033 SE Main St Suite 7,Portland,97214.0
BC2 Bentos Coffee & Cookies,95.5,1033 SW 6th Ave,Portland,97204.0
Tommy's Too,93.66666667,10335 SE Foster Rd,Portland,97266.0
Mission Bar-B-Que Kitchen,97.33333333,10336 NE Wygant St,Portland,97220.0
Bradfords on Halsey,99.0,10346 NE Halsey St,Portland,97220.0
McDonalds 6th Main,95.66666667,1035 SW 6th Ave,Portland,97204.0
Moe's Deli at Jubitz Truck Stop,97.28571429,10350 N Vancouver Way,Portland,97217.0
"Pizza Hut, #2866",99.25,10355 NE Halsey St,Portland,97220.0
Siam Grill,94.0,10355 NE Halsey St C,Portland,97220.0
The Alberta Street Pub,92.0,1036 NE Alberta St,Portland,97211.0
Schmizza Pub & Grub,98.4,1036 NW Glisan St,Portland,97209.0
Low Brow Lounge,100.0,1036 NW Hoyt St,Portland,97209.0
Zaatar,98.5,1037 NW Flanders St,Portland,97209.0
Arlene Schnitzer Concert Hall,95.25,1037 SW Broadway,Portland,97205.0
Thai Time Cafe,82.66666667,1037 SW Morrison St,Portland,97205.0
India House,83.66666667,1038 SW Morrison St,Portland,97205.0
Kenny and Zukes Delicatessen,82.75,1038 SW Stark St,Portland,97205.0
"Starbucks Coffee Co, #15510",100.0,1039 NW Couch St,Portland,97209.0
Happy Fortune,78.0,10420 SW Barbur Blvd,Portland,97219.0
Dennys #6806,96.66666667,10428 SE Stark St,Portland,97216.0
Just Tea,89.0,1045 SE 122nd Avenue,Portland,97233.0
Barrel Room,99.25,105 NW 3rd Ave,Portland,97209.0
